TIME_UNITS y
DATA_UNITS m/s
0	3.17097919837646E-10
5	3.17097919837646E-09
10	6.34195839675292E-09
15	1.58548959918823E-08
20	2.53678335870117E-08
25	3.17097919837646E-08
30	4.75646879756469E-08
35	4.75646879756469E-08
40	5.70776255707763E-08
45	6.34195839675292E-08
50	6.97615423642821E-08
55	6.97615423642821E-08
60	5.70776255707763E-08
65	5.70776255707763E-08
70	4.75646879756469E-08
75	4.75646879756469E-08
80	3.80517503805175E-08
85	3.80517503805175E-08
90	4.12227295788940E-08
95	4.12227295788940E-08
100	2.85388127853881E-08
105	2.21968543886352E-08
110	2.21968543886352E-08
115	6.34195839675292E-09
120	6.34195839675292E-09
125	9.51293759512938E-09
